target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
HRH2,P25021,CHEMBL1941,CHEMBL961047,CHEMBL402143,COc1c(OCCF)cccc1C(O)C1CCN(CCc2ccc(F)cc2)CC1,Ki,3178.0,nM,=,5.50
HRH2,P25021,CHEMBL1941,CHEMBL961047,CHEMBL515472,COc1c(OCCF)cccc1[C@H](O)C1CCN(CCc2ccc(F)cc2)CC1,Ki,2428.0,nM,=,5.62
HRH2,P25021,CHEMBL1941,CHEMBL961047,CHEMBL516088,COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(F)cc2)CC1,Ki,1757.0,nM,=,5.75
HRH2,P25021,CHEMBL1941,CHEMBL961047,CHEMBL476839,COc1c(OCCF)cccc1C(O)C1CCN(CCc2ccc(C)cc2)CC1,Ki,1156.0,nM,=,5.94
HRH2,P25021,CHEMBL1941,CHEMBL961047,CHEMBL490632,COc1c(OCCF)cccc1C(=O)C1CCN(CCc2ccc(C)cc2)CC1,Ki,827.0,nM,=,6.08
HRH2,P25021,CHEMBL1941,CHEMBL1031417,CHEMBL521179,CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,Inhibition,1.0,%,=,
HRH2,P25021,CHEMBL1941,CHEMBL985379,CHEMBL483400,Cc1nc2cccc(F)c2c(=O)n1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,IC50,10000.0,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL985379,CHEMBL485543,Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OC2CCN(C3CCC3)CC2)cc1,IC50,10000.0,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL984489,CHEMBL524153,O=C(NCCN1CCCN(C[C@H]2COc3ccccc3O2)CC1)c1cccnc1Oc1ccccc1,Activity,1900.0,nM,=,
HRH2,P25021,CHEMBL1941,CHEMBL986123,CHEMBL514217,CN(CCN1CCCCC1)C(=O)[C@H]1CC[C@@]2(CC1)OC(=O)c1ccccc12,IC50,10000.0,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL986123,CHEMBL513893,COc1ccc2c(c1)C(=O)O[C@]21CC[C@H](C(=O)N(C)CCN2CCCCC2)CC1,IC50,10000.0,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL992290,CHEMBL475965,COc1ccc(-c2ccc(C(=O)Nc3cccc(Cn4ncc(N5CCNCC5)cc4=O)c3C)cc2)cn1,Inhibition,10.0,%,<,
HRH2,P25021,CHEMBL1941,CHEMBL986360,CHEMBL476323,Cc1nc2cccc(C(F)(F)F)c2c(=O)n1-c1ccc(OCCCN2CCCC2)cc1,IC50,10000.0,nM,>,
HRH2,P25021,CHEMBL1941,CHEMBL986464,CHEMBL477181,CC(C)N1CCC(Oc2ccc3cc(C(=O)NC4CCCCC4)ccc3c2)CC1,Inhibition,25.0,%,<,
