target_gene,target_uniprot,target_chembl_id,chembl_assay_id,chembl_compound_id,smiles,standard_type,standard_value,standard_units,standard_relation,pchembl_value
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5743335,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc7c(c6)OC(F)(F)O7)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,150000.0,nM,=,
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5743335,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc7c(c6)OC(F)(F)O7)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6056206,COc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)cn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6056206,COc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C)cn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5874452,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(C#N)cc5)cc34)CC2)[nH]c1-c1ccc(OC(F)F)cc1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5874452,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(C#N)cc5)cc34)CC2)[nH]c1-c1ccc(OC(F)F)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6063509,COc1cccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6cnn(C(F)F)c6)cc45)CC3)nc2C)c1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6063509,COc1cccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6cnn(C(F)F)c6)cc45)CC3)nc2C)c1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5895171,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5cnn(C(F)F)c5)cc34)CC2)[nH]c1-c1ccc(OC(F)F)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5895171,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5cnn(C(F)F)c5)cc34)CC2)[nH]c1-c1ccc(OC(F)F)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5890902,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5cnn(C(F)F)c5)cc34)CC2)[nH]c1-c1ccc(OC(F)(F)F)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5890902,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5cnn(C(F)F)c5)cc34)CC2)[nH]c1-c1ccc(OC(F)(F)F)cc1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5960374,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc(C)s6)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5960374,COc1cc(-c2cc3c(N4CCC(c5nc(C)c(-c6ccc(C)s6)[nH]5)CC4)ncnc3[nH]2)ccn1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5774524,Cc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(F)cc6)cc45)CC3)nc2C)s1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5774524,Cc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(F)cc6)cc45)CC3)nc2C)s1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5751608,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(F)cc5)cc34)CC2)[nH]c1-c1ccc(Cl)s1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5751608,Cc1nc(C2CCN(c3ncnc4[nH]c(-c5ccc(F)cc5)cc34)CC2)[nH]c1-c1ccc(Cl)s1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6027931,Cc1cc2c(N3CCC(c4nc(C)c(-c5ccc6c(c5)OCO6)[nH]4)CC3)ncnc2[nH]1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6027931,Cc1cc2c(N3CCC(c4nc(C)c(-c5ccc6c(c5)OCO6)[nH]4)CC3)ncnc2[nH]1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5889916,Cc1cc2c(N3CCC(c4nc(C)c(-c5ccc6c(c5)OCCO6)[nH]4)CC3)ncnc2[nH]1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5889916,Cc1cc2c(N3CCC(c4nc(C)c(-c5ccc6c(c5)OCCO6)[nH]4)CC3)ncnc2[nH]1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5921656,Cc1nn(C)cc1-c1cc2c(N3CCC(c4nc(C)c(-c5ccc(OC(F)(F)F)cc5)[nH]4)CC3)ncnc2[nH]1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5921656,Cc1nn(C)cc1-c1cc2c(N3CCC(c4nc(C)c(-c5ccc(OC(F)(F)F)cc5)[nH]4)CC3)ncnc2[nH]1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6042182,COc1cccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccnc(OC)c6)cc45)CC3)nc2C(F)(F)F)c1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL6042182,COc1cccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccnc(OC)c6)cc45)CC3)nc2C(F)(F)F)c1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5878935,COc1cccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C(F)(F)F)c1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5878935,COc1cccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(-c6ccc(C#N)cc6)cc45)CC3)nc2C(F)(F)F)c1,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5821127,CCOc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5821127,CCOc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5803908,CCOc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5803908,CCOc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)ccc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5989589,Cc1cc2c(N3CCC(c4nc(C)c(-c5ccc6c(c5)OC(F)(F)O6)[nH]4)CC3)ncnc2[nH]1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5989589,Cc1cc2c(N3CCC(c4nc(C)c(-c5ccc6c(c5)OC(F)(F)O6)[nH]4)CC3)ncnc2[nH]1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5960101,COc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5960101,COc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1C,Ki,500.0,nM,=,6.30
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5885145,COc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)ccc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5885145,COc1cc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)ccc1C,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL5880931,COc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732668,CHEMBL5880931,COc1ccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)cc1,Ki,5500.0,nM,=,5.26
KIT,P10721,CHEMBL1936,CHEMBL5732667,CHEMBL6057182,COc1cccc(-c2[nH]c(C3CCN(c4ncnc5[nH]c(C)cc45)CC3)nc2C)c1,Ki,5500.0,nM,=,5.26
