keyword,assay_chembl_id,assay_description,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,standard_relation,activity_comment,pchembl_value
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144248,Cc1cccc(N/C(S)=N/[C@@H](C)c2cccc3ccccc23)n1,IC50,1600.0,nM,=,,5.80
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144830,S=C(NCCc1c[nH]c2ccccc12)Nc1ccc(Cl)cn1,IC50,4900.0,nM,=,,5.31
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144604,Oc1ccc(CC/N=C(\S)Nc2ccc(Br)cn2)cc1,IC50,16800.0,nM,=,,4.78
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL341894,Cc1cccc2sc(N/C(S)=N/[C@H](C)c3cccc4ccccc34)nc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144492,Cc1cc(C)nc(N/C(S)=N/[C@H](C)c2cccc3ccccc23)c1,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL145100,C[C@H](/N=C(\S)Nc1ccc(Br)cn1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL344326,Oc1ccc(CC/N=C(\S)Nc2ccc(Cl)cn2)cc1,IC50,12600.0,nM,=,,4.90
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL357247,COc1ccc2nc(/N=C(\S)N[C@H](C)c3cccc4ccccc34)sc2c1,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL145100,C[C@H](/N=C(\S)Nc1ccc(Br)cn1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144310,C[C@@H](/N=C(\S)Nc1nccs1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL146061,Cc1csc(N/C(S)=N/[C@@H](C)c2cccc3ccccc23)n1,IC50,83200.0,nM,=,,4.08
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL145847,C[C@@H](/N=C(\S)Nc1ccc(Cl)cn1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144578,C[C@H](/N=C(\S)Nc1ccccn1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL146110,C[C@@H](/N=C(\S)Nc1nc2ccccc2s1)c1cccc2ccccc12,IC50,18900.0,nM,=,,4.72
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL144795,C[C@H](/N=C(\S)Nc1nc2ccccc2s1)c1cccc2ccccc12,IC50,100000.0,nM,>,,
RBL-2H3,CHEMBL769881,Inhibition of IgE receptor/FcERI mediated leukotriene release from rat RBL-2H3 cells,CHEMBL358551,Cc1cc(C)nc(N/C(S)=N/[C@@H](C)c2cccc3ccccc23)c1,IC50,100000.0,nM,>,,
